learning_rate;weight_decay;epochs;optimizer;reduction;criterion;device;batch_size;clip_value;test_threshold;shuffle;cudnn_enabled;run_number;timestamp;train_results;val_results;test_results
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;122;2024-01-14 11:21:31;3,35;3,89;0,79
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;123;2024-01-14 11:21:31;3,35;3,91;0,78
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;124;2024-01-14 11:21:31;3,35;3,94;0,78
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;125;2024-01-14 11:21:31;3,34;3,91;0,78
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;126;2024-01-14 11:21:31;3,34;3,9;0,78
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;127;2024-01-14 11:21:31;3,34;3,95;0,77
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;128;2024-01-14 11:21:31;3,33;3,89;0,78
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;129;2024-01-14 11:21:31;3,33;3,92;0,79
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;130;2024-01-14 11:21:31;3,33;3,93;0,78
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;131;2024-01-14 11:21:31;3,33;3,88;0,78
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;132;2024-01-14 11:21:31;3,32;3,92;0,78
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;133;2024-01-14 11:21:31;3,32;3,93;0,79
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;134;2024-01-14 11:21:31;3,32;3,89;0,78
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;135;2024-01-14 11:21:31;3,31;3,87;0,78
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;136;2024-01-14 11:21:31;3,31;3,87;0,78
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;137;2024-01-14 11:21:31;3,31;3,89;0,78
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;138;2024-01-14 11:21:31;3,31;3,9;0,79
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;139;2024-01-14 11:21:31;3,3;3,88;0,78
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;140;2024-01-14 11:21:31;3,3;3,9;0,78
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;141;2024-01-14 11:21:31;3,3;3,92;0,78
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;142;2024-01-14 11:21:31;3,29;3,89;0,78
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;143;2024-01-14 11:21:31;3,29;3,92;0,78
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;144;2024-01-14 11:21:31;3,29;3,86;0,78
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;145;2024-01-14 11:21:31;3,29;3,91;0,78
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;146;2024-01-14 11:21:31;3,28;3,97;0,78
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;147;2024-01-14 11:21:31;3,28;3,86;0,78
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;148;2024-01-14 11:21:31;3,28;3,89;0,78
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;149;2024-01-14 11:21:31;3,27;3,87;0,78
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;150;2024-01-14 11:21:31;3,27;3,86;0,77
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;151;2024-01-14 11:21:31;3,27;3,87;0,77
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;152;2024-01-14 11:21:31;3,27;3,89;0,77
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;153;2024-01-14 11:21:31;3,26;3,85;0,78
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;154;2024-01-14 11:21:31;3,26;3,86;0,77
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;155;2024-01-14 11:21:31;3,26;3,84;0,77
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;156;2024-01-14 11:21:31;3,26;3,85;0,77
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;157;2024-01-14 11:21:31;3,25;3,86;0,77
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;158;2024-01-14 11:21:31;3,25;3,85;0,78
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;159;2024-01-14 11:21:31;3,25;3,86;0,77
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;160;2024-01-14 11:21:31;3,25;3,86;0,78
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;161;2024-01-14 11:21:31;3,24;3,84;0,78
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;162;2024-01-14 11:21:31;3,24;3,86;0,77
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;163;2024-01-14 11:21:31;3,24;3,84;0,77
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;164;2024-01-14 11:21:31;3,24;3,85;0,77
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;165;2024-01-14 11:21:31;3,23;3,84;0,77
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;166;2024-01-14 11:21:31;3,23;3,85;0,77
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;167;2024-01-14 11:21:31;3,23;3,82;0,76
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;168;2024-01-14 11:21:31;3,22;3,84;0,77
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;169;2024-01-14 11:21:31;3,22;3,82;0,77
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;170;2024-01-14 11:21:31;3,22;3,87;0,77
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;171;2024-01-14 11:21:31;3,22;3,84;0,76
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;172;2024-01-14 11:21:31;3,21;3,85;0,76
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;173;2024-01-14 11:21:31;3,21;3,89;0,76
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;174;2024-01-14 11:21:31;3,21;3,83;0,77
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;175;2024-01-14 11:21:31;3,21;3,87;0,76
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;176;2024-01-14 11:21:31;3,2;3,85;0,76
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;177;2024-01-14 11:21:31;3,2;3,82;0,77
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;178;2024-01-14 11:21:31;3,2;3,83;0,76
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;179;2024-01-14 11:21:31;3,2;3,81;0,76
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;180;2024-01-14 11:21:31;3,19;3,82;0,76
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;181;2024-01-14 11:21:31;3,19;3,8;0,76
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;182;2024-01-14 11:21:31;3,19;3,8;0,75
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;183;2024-01-14 11:21:31;3,19;3,83;0,77
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;184;2024-01-14 11:21:31;3,18;3,8;0,76
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;185;2024-01-14 11:21:31;3,18;3,79;0,76
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;186;2024-01-14 11:21:31;3,18;3,84;0,76
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;187;2024-01-14 11:21:31;3,18;3,79;0,76
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;188;2024-01-14 11:21:31;3,18;3,78;0,76
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;189;2024-01-14 11:21:31;3,17;3,84;0,75
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;190;2024-01-14 11:21:31;3,17;3,83;0,76
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;191;2024-01-14 11:21:31;3,17;3,8;0,76
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;192;2024-01-14 11:21:31;3,17;3,81;0,76
